type,ddex_key,name
AdministratingRecordCompanyRole,DesignatedDsrMessageRecipient,Designated Dsr Message Recipient
AdministratingRecordCompanyRole,RightsAdministrator,Rights Administrator
AdministratingRecordCompanyRole,RoyaltyAdministrator,Royalty Administrator
AdministratingRecordCompanyRole,Unknown,Unknown
AdministratingRecordCompanyRole,UserDefined,User Defined
ArtistRole,Actor,Actor
ArtistRole,Adapter,Adapter
ArtistRole,Architect,Architect
ArtistRole,Arranger,Arranger
ArtistRole,ArtCopyist,Art Copyist
ArtistRole,Artist,Artist
ArtistRole,AssociatedPerformer,Associated Performer
ArtistRole,Author,Author
ArtistRole,Band,Band
ArtistRole,Calligrapher,Calligrapher
ArtistRole,Cartographer,Cartographer
ArtistRole,Cartoonist,Cartoonist
ArtistRole,Choir,Choir
ArtistRole,Choreographer,Choreographer
ArtistRole,Composer,Composer
ArtistRole,ComposerLyricist,Composer Lyricist
ArtistRole,ComputerGraphicCreator,Computer Graphic Creator
ArtistRole,ComputerProgrammer,Computer Programmer
ArtistRole,Conductor,Conductor
ArtistRole,Contributor,Contributor
ArtistRole,Dancer,Dancer
ArtistRole,Delineator,Delineator
ArtistRole,Designer,Designer
ArtistRole,Director,Director
ArtistRole,Draughtsman,Draughtsman
ArtistRole,Ensemble,Ensemble
ArtistRole,Facsimilist,Facsimilist
ArtistRole,FeaturedArtist,Featured Artist
ArtistRole,FilmDirector,Film Director
ArtistRole,GraphicArtist,Graphic Artist
ArtistRole,GraphicDesigner,Graphic Designer
ArtistRole,Illustrator,Illustrator
ArtistRole,Journalist,Journalist
ArtistRole,Librettist,Librettist
ArtistRole,Lyricist,Lyricist
ArtistRole,MainArtist,Main Artist
ArtistRole,MusicCopyist,Music Copyist
ArtistRole,Narrator,Narrator
ArtistRole,NonLyricAuthor,Non Lyric Author
ArtistRole,NotSpecified,Not Specified
ArtistRole,Orchestra,Orchestra
ArtistRole,OriginalPublisher,Original Publisher
ArtistRole,Painter,Painter
ArtistRole,Photographer,Photographer
ArtistRole,PhotographyDirector,Photography Director
ArtistRole,Playwright,Playwright
ArtistRole,PrimaryMusician,Primary Musician
ArtistRole,Producer,Producer
ArtistRole,Programmer,Programmer
ArtistRole,ScreenplayAuthor,Screenplay Author
ArtistRole,Soloist,Soloist
ArtistRole,StudioMusician,Studio Musician
ArtistRole,StudioPersonnel,Studio Personnel
ArtistRole,SubArranger,Sub Arranger
ArtistRole,Translator,Translator
ArtistRole,TypeDesigner,Type Designer
ArtistRole,Unknown,Unknown
ArtistRole,UserDefined,User Defined
BusinessContributorRole,BookPublisher,Book Publisher
BusinessContributorRole,Contributor,Contributor
BusinessContributorRole,CopyrightClaimant,Copyright Claimant
BusinessContributorRole,CopyrightHolder,Copyright Holder
BusinessContributorRole,MusicPublisher,Music Publisher
BusinessContributorRole,NewspaperPublisher,Newspaper Publisher
BusinessContributorRole,OriginalPublisher,Original Publisher
BusinessContributorRole,PeriodicalPublisher,Periodical Publisher
BusinessContributorRole,SubPublisher,Sub Publisher
BusinessContributorRole,SubstitutedPublisher,Substituted Publisher
BusinessContributorRole,Unknown,Unknown
BusinessContributorRole,UserDefined,User Defined
BusinessMusicalWorkContributorRole,BookPublisher,Book Publisher
BusinessMusicalWorkContributorRole,CopyrightClaimant,Copyright Claimant
BusinessMusicalWorkContributorRole,CopyrightHolder,Copyright Holder
BusinessMusicalWorkContributorRole,MusicPublisher,Music Publisher
BusinessMusicalWorkContributorRole,NewspaperPublisher,Newspaper Publisher
BusinessMusicalWorkContributorRole,OriginalPublisher,Original Publisher
BusinessMusicalWorkContributorRole,PeriodicalPublisher,Periodical Publisher
BusinessMusicalWorkContributorRole,SubPublisher,Sub Publisher
BusinessMusicalWorkContributorRole,SubstitutedPublisher,Substituted Publisher
BusinessMusicalWorkContributorRole,Unknown,Unknown
BusinessMusicalWorkContributorRole,UserDefined,User Defined
CreativeContributorRole,Adapter,Adapter
CreativeContributorRole,Architect,Architect
CreativeContributorRole,Arranger,Arranger
CreativeContributorRole,AssociatedPerformer,Associated Performer
CreativeContributorRole,Author,Author
CreativeContributorRole,AuthorInQuotations,Author In Quotations
CreativeContributorRole,AuthorOfAfterword,Author Of Afterword
CreativeContributorRole,AVS,AVS
CreativeContributorRole,BookPublisher,Book Publisher
CreativeContributorRole,Compiler,Compiler
CreativeContributorRole,Composer,Composer
CreativeContributorRole,ComposerLyricist,Composer Lyricist
CreativeContributorRole,Conceptor,Conceptor
CreativeContributorRole,CopyrightClaimant,Copyright Claimant
CreativeContributorRole,CopyrightHolder,Copyright Holder
CreativeContributorRole,Creator,Creator
CreativeContributorRole,DialogueAuthor,Dialogue Author
CreativeContributorRole,Dissertant,Dissertant
CreativeContributorRole,Engraver,Engraver
CreativeContributorRole,Etcher,Etcher
CreativeContributorRole,Journalist,Journalist
CreativeContributorRole,LandscapeArchitect,Landscape Architect
CreativeContributorRole,Librettist,Librettist
CreativeContributorRole,Lithographer,Lithographer
CreativeContributorRole,Lyricist,Lyricist
CreativeContributorRole,MetalEngraver,Metal Engraver
CreativeContributorRole,MusicPublisher,Music Publisher
CreativeContributorRole,NewspaperPublisher,Newspaper Publisher
CreativeContributorRole,NonLyricAuthor,Non Lyric Author
CreativeContributorRole,OriginalPublisher,Original Publisher
CreativeContributorRole,PeriodicalPublisher,Periodical Publisher
CreativeContributorRole,PlateMaker,Plate Maker
CreativeContributorRole,Playwright,Playwright
CreativeContributorRole,Reporter,Reporter
CreativeContributorRole,Reviewer,Reviewer
CreativeContributorRole,Rubricator,Rubricator
CreativeContributorRole,ScreenplayAuthor,Screenplay Author
CreativeContributorRole,Sculptor,Sculptor
CreativeContributorRole,SubArranger,Sub Arranger
CreativeContributorRole,SubLyricist,Sub Lyricist
CreativeContributorRole,SubPublisher,Sub Publisher
CreativeContributorRole,SubstitutedPublisher,Substituted Publisher
CreativeContributorRole,Translator,Translator
CreativeContributorRole,Unknown,Unknown
CreativeContributorRole,UserDefined,User Defined
CreativeContributorRole,Woodcutter,Woodcutter
CreativeContributorRole,WoodEngraver,Wood Engraver
CreativeContributorRole,WriterOfAccompanyingMaterial,Writer Of Accompanying Material
CreativeMusicalWorkContributorRole,Adapter,Adapter
CreativeMusicalWorkContributorRole,Architect,Architect
CreativeMusicalWorkContributorRole,Arranger,Arranger
CreativeMusicalWorkContributorRole,Author,Author
CreativeMusicalWorkContributorRole,AuthorInQuotations,Author In Quotations
CreativeMusicalWorkContributorRole,AuthorOfAfterword,Author Of Afterword
CreativeMusicalWorkContributorRole,Compiler,Compiler
CreativeMusicalWorkContributorRole,Composer,Composer
CreativeMusicalWorkContributorRole,ComposerLyricist,Composer Lyricist
CreativeMusicalWorkContributorRole,Conceptor,Conceptor
CreativeMusicalWorkContributorRole,Creator,Creator
CreativeMusicalWorkContributorRole,DialogueAuthor,Dialogue Author
CreativeMusicalWorkContributorRole,Dissertant,Dissertant
CreativeMusicalWorkContributorRole,Engraver,Engraver
CreativeMusicalWorkContributorRole,Etcher,Etcher
CreativeMusicalWorkContributorRole,Journalist,Journalist
CreativeMusicalWorkContributorRole,LandscapeArchitect,Landscape Architect
CreativeMusicalWorkContributorRole,Librettist,Librettist
CreativeMusicalWorkContributorRole,Lithographer,Lithographer
CreativeMusicalWorkContributorRole,Lyricist,Lyricist
CreativeMusicalWorkContributorRole,MetalEngraver,Metal Engraver
CreativeMusicalWorkContributorRole,NonLyricAuthor,Non Lyric Author
CreativeMusicalWorkContributorRole,PlateMaker,Plate Maker
CreativeMusicalWorkContributorRole,Playwright,Playwright
CreativeMusicalWorkContributorRole,Reporter,Reporter
CreativeMusicalWorkContributorRole,Reviewer,Reviewer
CreativeMusicalWorkContributorRole,Rubricator,Rubricator
CreativeMusicalWorkContributorRole,ScreenplayAuthor,Screenplay Author
CreativeMusicalWorkContributorRole,Sculptor,Sculptor
CreativeMusicalWorkContributorRole,SubArranger,Sub Arranger
CreativeMusicalWorkContributorRole,SubLyricist,Sub Lyricist
CreativeMusicalWorkContributorRole,Translator,Translator
CreativeMusicalWorkContributorRole,Woodcutter,Woodcutter
CreativeMusicalWorkContributorRole,WoodEngraver,Wood Engraver
CreativeMusicalWorkContributorRole,WriterOfAccompanyingMaterial,Writer Of Accompanying Material
DisplayArtistRole,Artist,Artist
DisplayArtistRole,FeaturedArtist,Featured Artist
DisplayArtistRole,MainArtist,Main Artist
NewStudioRole,AAndRCoordinator,A And R Coordinator
NewStudioRole,Actor,Actor
